2017-07-14 15:05:49:975	1500015949975	0.37998962	3.3389587	8.160034
2017-07-14 15:05:49:994	1500015949994	0.3536682	3.422699	8.32634
2017-07-14 15:05:50:013	1500015950013	0.79156494	3.127182	8.4734955
2017-07-14 15:05:50:032	1500015950032	0.8896637	3.3102417	8.498627
2017-07-14 15:05:50:052	1500015950052	0.874115	3.6918945	8.218658
2017-07-14 15:05:50:071	1500015950071	0.64320374	3.61174	7.5690002
2017-07-14 15:05:50:090	1500015950090	0.46733093	3.361679	7.213669
2017-07-14 15:05:50:109	1500015950109	0.5642395	2.9848175	7.75325
2017-07-14 15:05:50:129	1500015950129	0.45776367	2.4763336	7.247177
2017-07-14 15:05:50:148	1500015950148	0.36921692	2.428482	7.056946
2017-07-14 15:05:50:167	1500015950167	0.5020294	2.6725464	7.4098816
2017-07-14 15:05:50:186	1500015950186	0.44100952	3.353302	7.5726013
2017-07-14 15:05:50:206	1500015950206	0.8417969	2.958496	8.362228
2017-07-14 15:05:50:225	1500015950225	0.92315674	1.8147125	9.002304
2017-07-14 15:05:50:246	1500015950246	0.4003296	1.4581909	8.339493
2017-07-14 15:05:50:267	1500015950267	0.33572388	2.2215118	7.826233
2017-07-14 15:05:50:283	1500015950283	1.6410065	2.0528107	10.253754
2017-07-14 15:05:50:302	1500015950302	1.9712219	1.0849152	11.044586
2017-07-14 15:05:50:321	1500015950321	1.2246552	1.0047607	10.215469
2017-07-14 15:05:50:341	1500015950341	1.4376221	0.4747467	10.046783
2017-07-14 15:05:50:360	1500015950360	1.4124908	0.48312378	8.520157
2017-07-14 15:05:50:379	1500015950379	2.1040192	1.3708649	8.637405
2017-07-14 15:05:50:398	1500015950398	3.4380188	1.8972778	9.985764
2017-07-14 15:05:50:417	1500015950417	4.276703	2.6761322	10.2812805
2017-07-14 15:05:50:437	1500015950437	4.7433014	3.2552032	9.208084
2017-07-14 15:05:50:457	1500015950457	4.6523743	3.6057587	9.593338
2017-07-14 15:05:50:475	1500015950475	5.3762054	3.9263916	9.630432
2017-07-14 15:05:50:495	1500015950495	6.673111	5.937561	3.5287323
